Date,Event
1942-08-26,The Japanese occupy Banaba Island and Nauru from the United Kingdom.
1942-08-30,The Civil Administration Area of Luxembourg ends and Luxembourg is annexed into Germany.
1942-10-09,The Commonwealth of Australia ceases to be a Dominion within the British Empire.
1942-10-23,"Allied forces take Tripolitania from Italy, and it becomes an occupied territory of the United Kingdom."
1942-11-01,The Karafuto Prefecture is integrated into Mainland Japan.
1942-11-08,Allied forces take the Kingdom of Morocco from Vichy France.
1942-11-11,Italy occupies Corsica in Operation Anton.
1942-11-28,Allied forces take Réunion from Vichy France.
1942-12-14,Allied forces take Madagascar from Vichy France.
1942-12-28,Allied forces take French Somaliland from Vichy France.
1943-05-12,Axis powers lose their last territory in Africa with the allied occupation of northern Tunisia.
1943-05-30,Attu Island is reconquered by the United States.
1943-06-26,The German Reich is officially renamed the Nazi Germany|Greater German Reich.
1943-07-09,The Allies begin the invasion of Sicily.
1943-07-30,The Shanghai French Concession and the Tientsin French Concession are taken over by Japan.
1943-08-01,Burma is given independence under Japanese occupation as the State of Burma.
1943-08-15,Kiska is reconquered by the United States after an Allied invasion.
1943-09-03,The Allies begin the invasion of mainland Italy.
1943-09-08,"Italy surrenders to the Allied powers, and is invaded by Germany, beginning the Italian Civil War."
1943-09-09,Corsica becomes an occupied territory under Germany.
1943-09-10,The Kingdom of Montenegro becomes a protectorate under Germany.
1943-09-11,The Dodecanese Islands become an occupied territory under Germany.
1943-09-18,Sardinia is taken over by the Allies.
1943-09-23,The part of Italy under German occupation is made into a separate country as the National Republican State of Italy.
1943-10-04,Corsica is liberated by the Allies.
1943-10-14,The Japanese-occupied Philippines is given independence as the Republic of the Philippines.
1943-10-23,The Andaman and Nicobar Islands are taken over by Allied forces.
1943-11-22,"The State of Greater Lebanon and the Syrian Republic, which together comprise the Mandate of Syria, are given independence as the Lebanese Republic and the Syrian Republic, respectively."
1943-12-01,The National Republican State of Italy is renamed the Italian Social Republic.
1943-12-15,"The United States annexes the Rock Bend, La Parida, and Los Fresnos bancos from Mexico and Mexico annexes the Orrbe banco from the United States."
1944-02-02,The Reichskommissariat Ukraine (Ukraine) is taken back by the Soviet Union from German occupation.
1944-02-03,The Marshall Islands are taken over by the United States from the Empire of Japan.
1944-03-12,"Germany occupies the Kingdom of Hungary, another Axis country, in Operation Margarethe."
1944-06-05,"The United States annexes the Cerros Colorados, Farias, EL Bano, Grande, Fierro, Adalberto, Martinez, Bonifacio, Pilares, Pilarito, and Cajoncitos bancos from Mexico and Mexico annexes the Bosque Bonito banco from the United States."
1944-06-06,The Allies begin the liberation of France with the Normandy landings into German occupied territory.
1944-06-17,"The Kingdom of Iceland ends its personal union with the Kingdom of Denmark, becoming the Republic of Iceland."
1944-06-19,"The United States purchases Water Island in the Caribbean from the East Asiatic Company, a private shipping company based in Denmark (which at the time was under German occupation)."
1944-08-09,"Vichy France is disestablished by ordinance of the newly created Provisional Government of the French Republic during the Liberation of France by Allied forces. The Vichy administration nominally continues to govern from the Sigmaringen enclave in Germany, but no longer controls any territory in Mainland France."
1944-08-10,Omiya Jima is taken over by the United States from the Empire of Japan.
1944-08-20,Clipperton Island is returned to the Provisional Government of the French Republic.
1944-09-03,"The Military Administration in Belgium and North France is liberated from Nazi Germany. The Kingdom of Belgium is reformed, and the Belgian Congo is put under the Belgian government's control after having remained loyal to the government-in-exile."
1944-09-08,The Independent State of Macedonia is created in Bulgarian-controlled Macedonia.
1944-09-11,The Grand Duchy of Luxembourg is liberated from Germany.
1944-09-17,Germany invades and takes over San Marino.
1944-09-19,"Finland and the Soviet Union sign the Moscow Armistice, handing control of Petsamo Province to the Soviet Union."
1944-09-20,San Marino is liberated by the Allies.
1944-10-11,The Soviet Union annexes the Tuvan People's Republic.
1944-10-13,The Kingdom of Greece returns to power after Athens is recovered.
1944-10-16,"In the Kingdom of Hungary, the Government of National Unity is established with the support of Germany, though the boundaries of the state itself remain unchanged."
1944-10-20,The Albanian Kingdom is liberated from the Axis Powers as the Democratic Government of Albania.
1944-11-03,The Hellenic State is completely liberated from Axis forces. The Kingdom of Greece takes over the rest of it.
1944-11-12,The East Turkestan Republic declares independence from the Republic of China.
1944-11-13,"The Independent State of Macedonia is liberated from Axis forces, and Yugoslavia resumes control of it."
1944-12-15,"The Kingdom of Montenegro, a puppet state of the Italian Social Republic (itself a puppet state of Germany), is taken over by Allied forces."
1944-12-21,The Weil and Las Antonias bancos are annexed by Mexico from the United States.
1944-12-31,The Republic of Poland gains independence.
1945-01-17,The Polish area of the General Government is liberated from Germany by Allied forces.
1945-03-08,The Kingdom of Hungary is liberated from Nazi Germany.
1945-03-11,The Empire of Vietnam declares independence from Japan under its occupation.
1945-03-16,"The United States annexes the Candelaria, Candela, Tascate, Chinati, Mimbres, La Quemada, and Buenavista bancos from Mexico and Mexico annexes the El Comedor, Kilpatrick, Palo Blanco, Guadelupe, and Gleim bancos from the United States."
1945-03-18,The Kingdom of Cambodia declares independence from Japan under its occupation.
1945-03-20,France regains Alsace-Lorraine.
1945-03-27,The State of Burma is taken back over by Allied forces and becomes the British crown colony of Burma.
1945-04-03,The Czechoslovak Republic is liberated from Germany.
1945-04-04,The Slovak Republic is liberated and given to the Czechoslovak Republic.
1945-04-08,"The Kingdom of Laos declares independence under Japanese occupation, while Japanese Indochina ceases to exist as a political entity."
1945-04-25,The Italian Social Republic is recovered from Germany and given to the Kingdom of Italy.
1945-04-27,The second Republic of Austria is established in occupied Austria. Vienna is the capital. Its independence is recognised by the Allies.
1945-05-01,"Following the death of Adolf Hitler and the Allied victory in the Battle of Berlin, the government of Germany is moved to Flensburg and the Flensburg Government is created under Admiral Karl Doenitz."
1945-05-05,The occupation of the Kingdom of Denmark by the Flensburg Government ends. Greenland is returned to Denmark from United States protection.
1945-05-07,The Dodecanese Islands are taken over by Allied forces and given to the Kingdom of Greece.
1945-05-08,"Germany formally surrenders to Allied forces, ending World War II in Europe."
1945-05-09,"Reichskommissariat Norwegen (Norway) is liberated by Allied forces and its possessions are returned (Bouvet Island, Peter I Island, and Queen Maud Land)."
1945-05-13,The Protectorate of Bohemia and Moravia is integrated back into Czechoslovakia.
1945-06-14,The State of Brunei is retaken by the United Kingdom and is classified as a protectorate.
1945-06-29,A treaty is signed between the Soviet Union and Czechoslovakia by which the Soviet Union annexes Subcarpathian Ruthenia.
1945-08-11,The Japanese-occupied Empire of Vietnam is taken back by France.
1945-08-15,Korea gains independence from the Empire of Japan. Seoul is the capital.
1945-08-16,Hong Kong is liberated from Japan by Allied forces and put under British rule.
1945-08-17,The de facto Republic of Indonesia declares independence under Japanese and Allied occupation.
1945-08-18,The Japanese create a separate political entity for the Andaman and Nicobar Islands.
1945-08-22,The Kwantung Leased Territory is returned to the Republic of China.
1945-08-28,British Hong Kong becomes a crown colony.
1945-08-30,Bảo Đại abdicates. End of the Nguyễn dynasty in Vietnam.
1945-08-31,The United States captures Minami-Tori-shima from the Empire of Japan.
1945-09-02,"The Empire of Japan formally surrenders to Allied forces, ending World War II in the Pacific."
1945-09-03,The United States occupies the Bonin Islands and Volcano Islands from Japan.
1945-09-04,The United States occupies Wake Island from Japan.
1945-09-08,The Kingdom of Thailand changes its name back to the Kingdom of Siam.
1945-09-09,The Reorganized National Government of the Republic of China is taken over by the Republic of China.
1945-09-10,Bourneo Kita and the occupation of the British protectorate of the Kingdom of Sarawak are taken back over by the United Kingdom.
1945-09-11,"In occupied Japan, Timor is split between the Portuguese East Timor and the Dutch West Timor."
1945-09-12,Malaya is given back to the United Kingdom from occupied Japan and is split into the Federated Malay States and the State of Johor Darul Ta'zim.
1945-09-13,"Nauru is taken over by Allied forces and placed under a United Nations trusteeship administered by Australia, New Zealand, and the United Kingdom."
1945-09-15,The Soviet Union's occupation of the People's Republic of Korea ends.
1945-09-16,The British occupation of the Faroe Islands ends and is handed back to Denmark.
1945-09-23,"The Kingdom of Laos, which was under Japanese occupation, is taken back by France as part of French Indochina."
1945-10-07,"In occupied Japan, the Andaman and Nicobar Islands are given back to the British Raj."
1945-10-10,"In occupied Japan, Banaba Island is given back over by the Gilbert and Ellice Islands under the United Kingdom."
1945-10-16,The Japanese puppet state of the Kingdom of Cambodia is taken over by France and put back under French Indochina.
1945-10-17,The Soviet Union annexes northern East Prussia.
1945-10-24,The French Mandate for Syria and Lebanon ends.
1945-10-25,Republic of China takes over Taiwan.
1945-11-29,France withdraws from Guangzhouwan after agreeing on 18 August to return the leased territory to the Republic of China.
1945-12-02,The Federal People's Republic of Yugoslavia supersedes the Kingdom of Yugoslavia.
1945-12-26,The Republic of Poland becomes independent.
1945-12-29,The Netherlands New Guinea is separated from the Dutch East Indies.
1946-01-04,The Republic of Indonesia moves its capital from Jakarta to Yogyakarta.
1946-01-11,The People's Republic of Albania supersedes the Democratic Government of Albania.
1946-01-22,The Soviet Union occupies part of northwestern Iran and forms the Republic of Mahabad as a puppet state.
1946-02-01,The Hungarian Republic supersedes the Kingdom of Hungary.
1946-02-28,The French concessions of Shanghai and Tientsin are ceded to the Republic of China.
1946-03-02,Britain begins to withdraw from Iran. Part of the Iran crisis of 1946.
1946-03-19,The Provisional Government of the French Republic elevates its colonies of Algeria and Réunion to overseas departments.
1946-04-01,"The Straits Settlements is dissolved.
The Malayan Union is formed from the following protectorates and colonies:
Federated Malay States
State of Johor Darul Ta'zim
State of Kedah Darul Aman
State of Kelantan Darul
State of Perlis Indera Kayangan
State of Terengganu Darul Iman
Settlement of Malacca
Settlement of Penang
The Settlement of Singapore becomes the Colony of Singapore, Labuan becomes a part of a colony."
1946-04-17,France withdraws all troops from Syria and Lebanon.
1946-05-25,The Hashemite Kingdom of Transjordan gains independence from a British League of Nations Mandate. Amman is the capital.
1946-06-02,The Kingdom of Italy is renamed the Italian Republic.
1946-07-01,The Kingdom of Sarawak is ceded to the United Kingdom as the Colony of Sarawak.
1946-07-04,The Republic of the Philippines gains independence from the United States. Manila is the capital.
1946-07-13,"In Montenegro (then part of Yugoslavia), the city of Podgorica is renamed Titograd."
1946-07-15,The State of North Borneo is ceded to the United Kingdom as the Colony of North Borneo. Labuan is transferred from Colony of Singapore to the Colony of North Borneo.
1946-07-26,The Spanish colonies of Ifni and Spanish Sahara merge to form Spanish West Africa.
1946-09-15,The People's Republic of Bulgaria supersedes the Tsardom of Bulgaria. Sofia is the capital.
1946-10-14,The Provisional Government of the French Republic is renamed the French Republic.
1946-10-22,"In the Dutch East Indies, the autonomous Federation of West Kalimantan is established."
1946-10-27,The French Republic elevates its uninhabited possession of Adélie Land to an overseas territory.
1946-12-07,"In the Dutch East Indies, the autonomous state of Dayak Besar is established."
1946-12-08,"The League of Nations Mandate of the Territory of New Guinea is transferred as a United Nations Trust Territory, administered by Australia."
1946-12-10,"In the Dutch East Indies, the autonomous Belitung Council is established."
1946-12-12,Republic of China gain possession on Taiping Island.
1946-12-15,The Soviet-occupied area of the Republic of Mahabad is returned to Iran.
1946-12-24,"In the Dutch East Indies, the State of Great East is established."
1946-12-27,"In the Dutch East Indies, the autonomous State of Great East is renamed the State of East Indonesia."
1947-01-08,"In the Dutch East Indies, the autonomous state of the Federation of South Kalimantan is established."
1947-01-25,The New Zealand-administered League of Nations Mandate of Western Samoa is transferred as a United Nations Trust Territory.
1947-02-10,"The Paris Peace Treaties are signed. These treaties allow the defeated Axis powers to resume their responsibilities as sovereign states in international affairs and to qualify for membership in the United Nations. Italy loses the colonies of Italian East Africa and Italian Libya, their concession in Tianjin, China, and recognises the independence of Albania. The Dodecanese Islands are granted to Greece, whilst Istria is granted to Yugoslavia. The Free Territory of Trieste is established. France gains small border territory from Italy. Finland is restored to its post-Winter War borders, and additionally cedes Petsamo Province to the Soviet Union. Hungary is returned to its 1938 borders, losing all territorial gains since before the First Vienna Award. In addition, it cedes the Bratislava bridgehead to Czechoslovakia. Romania is returned to its borders of 1 January 1941, compared to pre-war borders Bessarabia and northern Bukovina are ceded to the Soviet Union and Southern Dobruja is ceded to Bulgaria. The Second Vienna Award however is reversed, with northern Transylvania being returned to Romania. Bulgaria is returned to its borders just after the Treaty of Craiova in which it gained the aforementioned Southern Dobruja. They return their territories occupied from Greece and Yugoslavia."
1947-05-03,"The new Constitution of Japan is adopted, dissolving the Greater Japanese Empire."
1947-05-12,"In the Dutch East Indies, the Federation of West Kalimantan is renamed the Special Territory of West Kalimantan."
1947-07-12,"In the Dutch East Indies, the autonomous states of Bangka Council and Riau Council are created."
1947-07-18,"The South Pacific (League of Nations) Mandate, governed by Japan, is transferred to the United Nations Trust Territory of the Pacific Islands, administered by the United States."
1947-08-12,Balochistan (Kalat State) gains independence from the United Kingdom as an independent monarchy.
1947-08-14,The Dominion of Pakistan gains independence from the United Kingdom. Karachi is the capital.
1947-08-15,The Dominion of India gains independence from the United Kingdom. New Delhi is the capital.
1947-08-27,"In the Dutch East Indies, the Siak Besar Territory is created."
1947-09-15,The Free Territory of Trieste is created in Central Europe.
1947-10-08,"In the Dutch East Indies, the autonomous state of the Special Territory of East Sumatra is created."
1947-10-16,Philippine administration of seven of the Turtle Islands begins and United Kingdom administration ends.
1947-10-27,The princely state of Jammu and Kashmir is divided between the Dominion of India and the Dominion of Pakistan.
1947-11-01,The League of Nations Mandate of Nauru is transferred as a United Nations Trust Territory.
1947-11-25,The title Dominion of New Zealand ceases to be officially used for New Zealand.
1947-12-14,"The Soviet Union completely withdraws its forces from Bulgaria, ending a three-year-long occupation."
1947-12-15,France claims the Saar as a protectorate from occupied Germany.
1947-12-25,"In the Dutch East Indies, the Special Territory of East Sumatra is renamed the State of East Sumatra."
1947-12-26,Sovereignty over the Territory of Heard Island and McDonald Islands is transferred from the United Kingdom to Australia.
1947-12-30,The Romanian People's Republic supersedes the Kingdom of Romania.
1948-01-04,The Union of Burma gains independence from the United Kingdom. Burma becomes a republic outside the British Commonwealth. Yangon (British Rangoon) is the capital.
1948-01-14,"In the Dutch East Indies, the autonomous state of the Territory of Banjar is created."
1948-01-23,"In the Dutch East Indies, the states of Bangka Council, the Belitung Council, and the Riau Council are merged as the Bangka Belitung and Riau Federation."
1948-01-30,"In the United Kingdom, the Malayan Union is renamed the Federation of Malaya."
1948-02-04,The Crown Colony of Ceylon (Sri Lanka) gains independence from the United Kingdom as the Dominion of Ceylon. Colombo remains the capital.
1948-02-26,"In the Dutch East Indies, the State of West Java is created."
1948-03-27,Kalat State is integrated into the Pakistan. Kalat yields to Karachi as capital.
1948-04-01,The Faroe Islands becomes a self-governing dependency.
1948-04-18,Ireland is declared a republic with effect as from 18 April 1949.
1948-04-25,"In the Dutch East Indies, the State of West Java is renamed the Sundanese State."
1948-05-14,The State of Israel is established upon the termination of the British Mandate for Palestine. Tel Aviv is the capital.
1948-07-17,The Republic of the Philippines moves its capital from Manila to Quezon City.
1948-08-15,The Republic of Korea is established from British/American/United Nations-occupied South Korea.
1948-08-30,"In the Dutch East Indies, the State of South Sumatra is established."
1948-09-09,Korea is divided between the Democratic People's Republic of Korea (North Korea) and the Republic of Korea (South Korea). Pyongyang and Seoul are the respective capitals.
1948-09-12,The State of Hyderabad is annexed by the Dominion of India. Hyderabad yields to New Delhi as capital.
1948-09-20,"The Dutch colony of Curaçao and Dependencies is renamed the Netherlands Antilles, as the dependencies gain equality in level of sovereignty."
1948-11-26,"In the Dutch East Indies, the autonomous state of East Java is established."
1948-12-25,"The Soviet Union completely withdraws its forces from North Korea, ending a three-year-long occupation."
1949-01-01,"New Zealand annexes the Tokelau Islands, which creates a dispute with the United States over its claims of Atafu, Fakaofo, and Nukunono."
1949-03-01,The Emirate of Cyrenaica is created from part of the British Military Administration of Libya. The capital is Benghazi.
1949-03-02,"In the Dutch East Indies, the autonomous state of Central Java is established."
1949-03-10,"As a result of the 1948 Arab–Israeli War, Israel captures half of the land allotted to an Arab state under the Partition Plan, Jordan occupies the West Bank, and the Kingdom of Egypt occupies the Gaza Strip."
1949-03-31,The Dominion of Newfoundland joins Canada as the Province of Newfoundland following the Newfoundland referendums. St. John's yields to Ottawa as the capital.
1949-04-03,The Hashemite Kingdom of Transjordan is renamed the Hashemite Kingdom of Jordan.
1949-04-04,"The North Atlantic Treaty is signed, forming the legal basis for the NATO military alliance to come into effect later that year. Belgium, Canada, Denmark, France, Iceland, Italy, Luxembourg, the Netherlands, Norway, Portugal, the United Kingdom and the United States are founding members."
1949-04-18,"The Republic of Ireland is declared, and leaves the British Commonwealth. King George VI ceases to be King of Ireland. Seán T. O'Kelly, the President of Ireland becomes a fully recognised head of state."
1949-04-22,The Republic of China government evacuates Nanjing the day before the capital city falls to the Communists. Canton becomes the de facto capital.
1949-05-11,The Kingdom of Siam changes its name back to the Kingdom of Thailand.
1949-05-23,"The Federal Republic of Germany (West Germany) and West Berlin are established in the American, British, and French occupation zones of Germany. Bonn is declared the capital."
1949-06-14,"The area of Vietnam in French Indochina becomes a separate entity under France as the State of Vietnam, though North Vietnam still claims independence."
1949-06-20,"The 1948 Arab–Israeli War ends, resulting in the former territory of Mandatory Palestine being split among Israel, Jordan, and the Kingdom of Egypt."
1949-07-19,The area of Laos in French Indochina becomes a separate entity under France as the Kingdom of Laos.
1949-08-08,The Indian protectorate of the Kingdom of Bhutan declares independence.
1949-08-20,The Hungarian People's Republic supersedes the Hungarian Republic.
1949-08-24,"The North Atlantic Treaty comes into effect, creating the North Atlantic Treaty Organization. Belgium, Canada, Denmark, France, Iceland, Italy, Luxembourg, the Netherlands, Norway, Portugal, the United Kingdom and the United States are founding members."
1949-09-09,The Kingdom of Tripura merges with India.
1949-09-26,The United States annexes the Don Juan Cross banco from Mexico and Mexico annexes Ringgold banco from the United States.
1949-10-01,Mao Zedong proclaims the People's Republic of China. Beijing is the capital.
1949-10-07,The German Democratic Republic (East Germany) is established in Soviet-occupied eastern Germany. East Berlin is the capital.
1949-10-13,The Republic of China government evacuates Canton. Chongqing becomes the de facto capital.
1949-11-06,The Australian-administered Territory of New Guinea and the Territory of Papua merge to form the Territory of Papua and New Guinea.
1949-11-08,The remains of French Indochina form the French-administered Kingdom of Cambodia.
1949-11-21,"The British-administered protectorates of the Emirate of Cyrenaica, the occupied territory of Tripolitania, and the French-occupied territory of Fezzan merge to form a jointly administered Libya."
1949-11-29,The Republic of China government evacuates Chongqing. Chengdu becomes the de facto capital.
1949-12-05,"The State of Israel declares Jerusalem its official capital. Tel Aviv continues to serve as the de facto capital, although Israeli government institutions would be gradually moved to a newly constructed government quarter in West Jerusalem over the 1950s."
1949-12-10,The Republic of China government in Chengdu evacuates Mainland China for Taiwan. Taipei becomes the de facto capital.
1949-12-22,"The People's Republic of China completes the conquest of the East Turkestan Republic in Xinjiang, after Republic of China forces in the region ally with the Communists in September."
1949-12-27,"The forces of the People's Republic of China enter Chengdu, ending the Southwest Campaign against the Republic of China and completing the conquest of major continental Han-inhabited territories."
1949-12-29,"The State of Israel moves its Parliament, the Knesset, from Tel Aviv to the National Institutions House in West Jerusalem. The Knesset would be moved within Jerusalem, first temporarily to the Froumine House in 1950, and then to its current, permanent building in 1966."
1950-01-26,India adopts a republican constitution and changes its name to the Republic of India. India becomes the first republic in the Commonwealth of Nations.
1950-02-19,"The People's Republic of China completes the conquest of southern Yunnan, expelling the Republic of China from all of continental China Proper."
1950-04-01,The British-occupied territory of Italian Somaliland is transferred to Italy as the Trust Territory of Somalia.
1950-04-07,"The People's Republic of China completes the conquest of Xikang, defeating the last regular forces of the Republic of China in continental Mainland China."
1950-04-25,The unrecognized Republic of South Maluku declares independence from Indonesia.
1950-05-01,The People's Republic of China completes the conquest of Hainan Island from the Republic of China.
1950-08-07,"The People's Republic of China completes the conquest of the Wanshan Archipelago from the Republic of China, concluding the main period of hostilities in the Chinese Civil War."
1950-08-17,The Republic of the United States of Indonesia becomes a unitary state and changes its name back to the Republic of Indonesia.
1950-11-05,"Indonesia reconquers Ambon, the last stronghold of the Republic of South Maluku, reducing the separatist movement to a minor insurgency."
1950-12-05,The Kingdom of Sikkim signs a treaty to become a protectorate of India.
1950-12-15,The United States reorganizes the United States Military Government of the Ryukyu Islands as the United States Civil Administration of the Ryukyu Islands.
1951-04-27,Denmark leases Thule Air Base in Greenland to the United States in perpetuity and cedes exclusive jurisdiction over the base area.
1951-05-23,The People's Republic of China annexes the de facto independent state of Tibet after the military conquest of its Chamdo Region in October 1950.
1951-06-05,The Republic of Poland and the Soviet Union exchange territory along their common border.
1951-06-11,"Due to Portuguese colonies being reorganized as overseas provinces, Portuguese East Africa is renamed Mozambique and Portuguese West Africa is renamed Angola."
1951-12-24,"The United Kingdom of Libya gains independence from a United Nations trusteeship, previously having been divided into the independent Emirate of Cyrenaica, British-administered Tripolitania, and the French Military Territory of Fezzan-Ghadames. Tripoli is the capital."
1952-02-18,Greece and Turkey join the North Atlantic Treaty Organization in the alliance's first enlargement.
1952-04-28,The Allied occupation of Japan ends.
1952-07-22,The Republic of Poland changes its name to the Polish People's Republic.
1952-07-23,"The European Coal and Steel Community, the earliest predecessor to the European Union, is created. Italy, France, Luxembourg, Belgium, Netherlands and West Germany are the founding members."
1952-07-26,"The Argentine National Gendarmerie took possession of the disputed areas between Argentina and Chile in Valle Hondo, Valle Horquetas and Lagunas del Engaño, notifying the Chilean families that within one month they had to regularize their situation to the Argentine state. This prompted a diplomatic protest from Chile as they were considered to be in the country's territory."
1952-09-15,Italian Eritrea is federated within the Ethiopian Empire.
1953-01-01,The First Republic of Maldives supersedes the Sultanate of Maldives.
1953-01-12,"The Estonian Government in Exile is established, in parallel to Estonian diplomatic legations abroad. Both are later declared keepers of the legal continuity of the restored Republic of Estonia."
1953-04-15,The United States of Venezuela is renamed the Republic of Venezuela.
1953-06-13,The Egyptian Republic supersedes the Kingdom of Egypt.
1953-07-26,The Cuban Revolution is led by Fidel Castro to overthrow Fulgencio Batista's regime.
1953-07-27,"The Korean Armistice Agreement is signed, establishing the Korean Demilitarized Zone along the border between the Democratic People's Republic of Korea (North Korea) and the Republic of Korea (South Korea)."
1953-08-01,The British colony of Southern Rhodesia and the protectorates of Northern Rhodesia and Nyasaland merge to form Rhodesia and Nyasaland.
1953-10-22,The Kingdom of Laos gains independence from France. Vientiane is the capital.
1953-11-09,The Kingdom of Cambodia declares its independence from France. Phnom Penh is the capital.
1953-12-25,The United States returns the Amami Islands to Japan.
1954-03-07,The Sultanate of Maldives supersedes the First Republic of Maldives.
1954-04-15,"The Geneva Accords grant independence to Vietnam, which is provisionally divided into North Vietnam and South Vietnam."
1954-07-20,France recognizes the independence of Vietnam divided between the Democratic Republic of Vietnam (North Vietnam) and the Republic of Vietnam (South Vietnam). Hanoi and Saigon are the respective capitals.
1954-07-27,"The Free Dadra declares independence from Portugal, but is officially recognized only by India."
1954-08-02,The capital of Free Dadra is moved from Dadra to Silvassa.
1954-08-11,The Republic of India annexes Dadra and Nagar Haveli from Portuguese India.
1954-10-26,The Free Territory of Trieste is divided between Italy and Yugoslavia.
1954-11-25,"Amidst a civil war, the Imamate of Oman declares the dissolution of the union of Muscat and Oman and applies for membership in the Arab League as the independent Kingdom of Oman. Nizwa remains the capital."
1954-12-15,The Kingdom of the Netherlands makes the Territory of Curaçao one of its three constituent countries as the Netherlands Antilles. Willemstad on Curaçao remains the capital.
1954-12-20,France recognizes the independence of the Kingdom of Cambodia. Phnom Penh remains the capital.
1955-01-20,The People's Republic of China conquers the Yijiangshan Islands from the Republic of China after the Battle of Yijiangshan Islands.
1955-04-11,"The corridor of Panama inside the Panama Canal Zone, part of the United States of America, is slightly shifted by territorial exchanges due to bridges and highways."
1955-05-09,West Germany joins the North Atlantic Treaty Organization in the alliance's second enlargement.
1955-05-14,"The Warsaw Pact is founded, led by the Soviet Union as their equivalent to the North Atlantic Treaty Organization for the Eastern Bloc. Albania, Bulgaria, Czechoslovakia, East Germany, Hungary, Poland, Romania and the Soviet Union are the founding members. China, North Vietnam and North Korea have observer status."
1955-05-15,The Republic of Austria regains its independence with the end of Allied occupation. Vienna is the capital.
1955-07-28,"Following the withdrawal of French forces in August 1954, the People's Republic of China conquers Bạch Long Vĩ Island from the Republic of China."
1955-08-06,"The French overseas territory of Adélie Land and the Malagasy dependencies of the Crozet Islands, the Kerguelen Islands, and Saint-Paul and Amsterdam merge to form the French Southern and Antarctic Lands."
1955-08-23,"The border between Panama and the United States' Panama Canal Zone is redefined, resulting in several border changes. Punta Paitilla, the land held on Taboga Island, and the remaining American holdings in Colón and Panama City are ceded to Panama."
1955-09-18,Rockall is officially claimed by the United Kingdom.
1955-10-14,"The one-unit scheme in Pakistan is passed merging all the provinces and princely states of the then western Pakistan, to a single province called West Pakistan."
1955-10-26,The State of Vietnam is renamed the Republic of Vietnam (South Vietnam).
1955-11-23,The United Kingdom transfers the Cocos or Keeling Island of the Colony of Singapore to Australia as the Territory of Cocos (Keeling) Islands.
1955-12-20,Cardiff is recognised as the capital of Wales. It is the country's first official capital since 1689.
1956-01-01,The Republic of Sudan gains independence from the United Kingdom. Khartoum is the capital. Egypt relinquishes its claim to Sudan.
1956-01-14,The United States of America annexes the San Felipe banco from Mexico.
1956-03-02,The Sherifian Empire gains independence from France. Rabat is the capital.
1956-03-20,The Kingdom of Tunisia gains independence from France. Tunis is the capital.
1956-03-23,"Pakistan adopts a new constitution and changes its name to the Islamic Republic of Pakistan, and remains part of the Commonwealth of Nations."
1956-04-07,Spanish Morocco becomes part of the Sherifian Empire.
1956-06-18,The Egyptian Republic declares its complete independence from the United Kingdom.
1956-06-23,Beginning of the Hungarian Revolution of 1956.
1956-07-16,The Karelo-Finnish Soviet Socialist Republic is made part of the Russian SFSR.
1956-10-23,Beginning of the main phase of the Hungarian Revolution of 1956.
1956-10-29,"The Tangier International Zone, under the joint administration of France, Spain, the United Kingdom, Italy, Portugal, and Belgium, is reintegrated into the Sherifian Empire."
1956-11-01,Hungary withdraws from the Warsaw Pact as part of the ongoing revolution.
1956-11-04,The Soviet Union invades and occupies Hungary to end the revolution. A new government is established.
1956-11-07,Fighting in the Suez Crisis ends. Israel occupies the Sinai Peninsula of Egypt.
1956-12-13,British Togoland is merged into the Gold Coast.
1957-01-01,Saar is given to West Germany as the state of Saarland.
1957-01-16,The People's Republic of China transfers Bạch Long Vĩ Island to North Vietnam.
1957-02-28,Argentina declares the Argentine Antarctic Sector between the meridians 25° W and 74° W
1957-03-06,Ghana gains independence from the United Kingdom. Accra is the capital.
1957-07-25,The Kingdom of Tunisia is renamed the Republic of Tunisia.
1957-08-14,The Sherifian Empire is renamed the Kingdom of Morocco.
1957-08-31,The Federation of Malaya gains independence from the United Kingdom. Kuala Lumpur is the capital. Malaya becomes the first native monarchy in the Commonwealth of Nations.
1957-10-23,"Morocco invades Ifni, conquering most of the region beyond the vicinity of Sidi Ifni from Spain by December, and occupying it until Spain cedes the entire region in 1969."
1958-01-01,The United Kingdom separates Christmas Island from the Colony of Singapore to form the Colony of Christmas Island.
1958-01-03,"The United Kingdom establishes the West Indies Federation as a federation of most of the British West Indies, excluding the British Virgin Islands and the Bahamas. The de jure capital is Chaguaramas on Trinidad and the de facto capital is Port of Spain on Trinidad."
1958-01-10,Ifni is separated from Spanish West Africa as Ifni Province.
1958-01-12,"The Snipe incident starts between Argentina and Chile in the Beagle Channel in which the two countries disagreed about the sovereign rights over the zone and Snipe, an uninhabitable islet between Picton Island and Navarino Island and started to build lighthouses (destroying the one built by the other country)."
1958-02-14,The Hashemite Kingdom of Iraq and the Hashemite Kingdom of Jordan unite to form the Arab Federation of Iraq and Jordan. Amman yields to Baghdad as the capital.
1958-02-22,The Egyptian Republic and the Syrian Arab Republic unite to form the United Arab Republic. Damascus yields to Cairo as the capital.
1958-03-08,The United Arab States is formed as a confederation between the United Arab Republic (Egypt and Syria) and the Kingdom of Yemen.
